files,winner,T1_winners,T2_winners,T3_winners,T4_winners,T5_winners,T6_winners,T7_winners,T8_winners,T9_winners,T10_winners,T11_winners,T12_winners
dumgal17-ballots/dumgal17-09.blt,G,E,E,E,G,G,G,G,G,NA,NA,NA,NA
dumgal17-ballots/dumgal17-10.blt,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA
dumgal17-ballots/dumgal17-11.blt,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA
dumgal17-ballots/dumgal17-12.blt,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA
dumgal22/ward1.blt.docx,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA
dumgal22/ward10.blt,E,B,B,B,E,NA,NA,NA,NA,NA,NA,NA,NA
dumgal22/ward11.blt,D,F,F,D,D,D,NA,NA,NA,NA,NA,NA,NA
dumgal22/ward12.blt,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
dumgal22/ward2.blt,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA
dumgal22/ward3.blt,C,D,C,C,C,C,NA,NA,NA,NA,NA,NA,NA
dumgal22/ward4.blt,B,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA
dumgal22/ward5.blt,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA
dumgal22/ward6.blt,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA
dumgal22/ward7.blt,B,A,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA
dumgal22/ward8.blt,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA
dumgal22/ward9.blt,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
dundee12-ballots/dundee12-01.blt,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA
dundee12-ballots/dundee12-02.blt,D,D,D,D,D,D,D,D,NA,NA,NA,NA,NA
dundee12-ballots/dundee12-03.blt,D,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA
dundee12-ballots/dundee12-04.blt,B,B,B,B,B,B,B,B,NA,NA,NA,NA,NA
dundee12-ballots/dundee12-05.blt,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA
dundee12-ballots/dundee12-06.blt,F,F,F,F,F,F,F,NA,NA,NA,NA,NA,NA
dundee12-ballots/dundee12-07.blt,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA
dundee12-ballots/dundee12-08.blt,D,E,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA
dundee17-ballots/dundee17-01.blt,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA
dundee17-ballots/dundee17-02.blt,I,I,I,I,I,I,I,I,I,NA,NA,NA,NA
dundee17-ballots/dundee17-03.blt,D,D,D,D,D,D,D,D,NA,NA,NA,NA,NA
dundee17-ballots/dundee17-04.blt,B,B,B,B,B,B,B,B,B,NA,NA,NA,NA
dundee17-ballots/dundee17-05.blt,E,E,E,E,E,E,NA,NA,NA,NA,NA,NA,NA
dundee17-ballots/dundee17-06.blt,E,E,E,E,E,E,E,NA,NA,NA,NA,NA,NA
dundee17-ballots/dundee17-07.blt,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA
dundee17-ballots/dundee17-08.blt,G,G,G,G,G,G,G,G,NA,NA,NA,NA,NA
dundee22/Ward1.blt,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA
dundee22/Ward2.blt,G,G,G,G,G,G,G,G,NA,NA,NA,NA,NA
dundee22/Ward3.blt,H,H,H,H,H,H,H,H,NA,NA,NA,NA,NA
dundee22/Ward4.blt,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA
dundee22/Ward5.blt,G,E,G,G,G,G,G,NA,NA,NA,NA,NA,NA
dundee22/Ward6.blt,D,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA
dundee22/Ward7.blt,B,B,B,B,B,B,NA,NA,NA,NA,NA,NA,NA
dundee22/Ward8.blt,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA
e-ayrshire12-ballots/e-ayrshire12-01.csv,D,F,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA
e-ayrshire12-ballots/e-ayrshire12-02.blt,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
e-ayrshire12-ballots/e-ayrshire12-03.blt,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA
e-ayrshire12-ballots/e-ayrshire12-04.blt,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA
e-ayrshire12-ballots/e-ayrshire12-05.blt,B,B,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA
e-ayrshire12-ballots/e-ayrshire12-06.blt,B,C,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA
e-ayrshire12-ballots/e-ayrshire12-07.blt,B,E,E,B,B,NA,NA,NA,NA,NA,NA,NA,NA
e-ayrshire12-ballots/e-ayrshire12-08.blt,H,H,H,H,H,H,H,NA,NA,NA,NA,NA,NA
e-ayrshire12-ballots/e-ayrshire12-09.blt,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA
e-ayrshire17-ballots/e-ayrshire17-01.blt,E,E,E,E,E,E,E,NA,NA,NA,NA,NA,NA
e-ayrshire17-ballots/e-ayrshire17-02.blt,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA
